SME_ID,Industry,Emirate,Business_Age,Monthly_Revenue,Revenue_Growth,Revenue_Volatility,Transaction_Volume,Receivable_Days,Payable_Days,Cash_Buffer,Financing_Requirement,Repayment_Behaviour
SME0001,Professional Services,Dubai,2.0,58064,0.007,0.213,106,106,34,6,99319,Good
SME0002,F&B,Abu Dhabi,1.7,38483,0.155,0.132,79,47,14,34,29734,Poor
SME0003,Trading,Dubai,3.1,40430,0.041,0.213,75,58,31,54,33055,Excellent
SME0004,Manufacturing,Dubai,2.9,223490,-0.231,0.144,364,13,66,16,208560,Excellent
SME0005,Retail,Abu Dhabi,4.1,133173,0.298,0.02,266,55,28,80,141428,Good
SME0006,Hospitality,Dubai,6.8,486243,-0.35,0.493,2118,95,21,24,453909,Excellent
SME0007,Professional Services,Fujairah,4.5,55634,-0.018,0.353,144,35,21,25,60096,Fair
SME0008,Professional Services,Dubai,8.3,126289,-0.056,0.242,237,42,34,44,81540,Fair
SME0009,Retail,Sharjah,3.8,142316,0.113,0.198,380,47,30,35,153929,Excellent
SME0010,F&B,Abu Dhabi,13.7,74736,0.204,0.115,116,46,40,9,95741,Poor
SME0011,Logistics,Sharjah,8.1,267012,0.328,0.04,604,30,18,16,361543,Excellent
SME0012,Trading,Abu Dhabi,5.7,295203,-0.077,0.084,641,23,24,49,203907,Fair
SME0013,Healthcare,Abu Dhabi,6.8,172926,0.209,0.388,296,51,44,35,144012,Good
SME0014,Professional Services,Fujairah,3.1,79011,0.123,0.328,185,22,46,80,75507,Fair
SME0015,F&B,Dubai,4.0,68431,-0.297,0.183,145,91,47,32,100407,Excellent
SME0016,E-commerce,Dubai,3.9,39229,0.498,0.18,70,41,41,36,54113,Poor
SME0017,Construction,Sharjah,2.6,87990,-0.237,0.208,322,75,42,14,72555,Poor
SME0018,Retail,Ajman,1.4,64299,0.172,0.062,155,74,31,54,78840,Good
SME0019,Professional Services,Dubai,7.1,37770,0.166,0.057,69,22,10,3,37135,Good
SME0020,Healthcare,Abu Dhabi,9.2,190281,0.141,0.281,416,65,10,28,183861,Good
SME0021,Professional Services,Ras Al Khaimah,6.4,271515,-0.029,0.214,434,86,28,37,244576,Good
SME0022,Logistics,Sharjah,4.5,65546,0.262,0.175,251,85,29,30,74075,Good
SME0023,Hospitality,Umm Al Quwain,17.7,145760,-0.263,0.172,590,21,15,24,112736,Good
SME0024,Trading,Abu Dhabi,2.9,63416,0.066,0.152,117,62,16,22,62176,Fair
SME0025,Professional Services,Sharjah,5.8,75770,-0.044,0.145,137,24,25,25,79358,Good
SME0026,E-commerce,Dubai,10.0,69772,-0.069,0.442,163,40,88,10,69889,Excellent
SME0027,F&B,Fujairah,1.9,154677,0.174,0.074,311,37,13,30,160354,Poor
SME0028,Retail,Dubai,7.4,61269,0.317,0.128,114,19,20,14,57704,Excellent
SME0029,Retail,Sharjah,14.3,257793,0.004,0.602,732,68,46,16,353934,Excellent
SME0030,Manufacturing,Dubai,4.8,150507,0.252,0.385,412,28,41,9,131804,Poor
SME0031,Manufacturing,Abu Dhabi,5.4,106774,0.091,0.205,226,40,32,120,61277,Excellent
SME0032,Hospitality,Sharjah,2.9,39477,-0.116,0.286,71,74,6,29,46439,Excellent
SME0033,Logistics,Abu Dhabi,6.8,175885,0.023,0.219,567,15,23,8,180331,Good
SME0034,Logistics,Ras Al Khaimah,2.6,303549,0.014,0.402,712,44,74,27,348908,Fair
SME0035,F&B,Dubai,4.6,116985,-0.073,0.14,278,81,15,53,115121,Excellent
SME0036,E-commerce,Sharjah,1.3,841355,0.174,0.126,1682,43,15,30,849971,Good
SME0037,Retail,Dubai,0.5,367809,0.132,0.182,819,14,64,24,306738,Excellent
SME0038,F&B,Dubai,3.3,71402,-0.27,0.428,186,19,25,13,66326,Good
SME0039,E-commerce,Abu Dhabi,3.3,95745,-0.283,0.086,160,150,7,30,126875,Good
SME0040,Manufacturing,Dubai,3.6,276474,0.173,0.39,718,22,12,41,240401,Excellent
SME0041,F&B,Dubai,8.0,45486,-0.099,0.237,110,29,18,41,26986,Poor
SME0042,Professional Services,Sharjah,9.3,264603,0.146,0.156,1022,117,31,28,486243,Good
SME0043,Manufacturing,Sharjah,6.0,252203,0.252,0.445,692,49,23,28,227394,Fair
SME0044,Logistics,Sharjah,7.6,176373,-0.2,0.123,345,33,14,59,119746,Poor
SME0045,Professional Services,Dubai,2.6,176055,-0.231,0.409,360,48,24,55,192812,Poor
SME0046,Professional Services,Dubai,2.1,424660,0.448,0.347,814,133,15,21,893585,Fair
SME0047,Logistics,Dubai,6.8,164009,0.157,0.227,318,49,77,76,163520,Good
SME0048,E-commerce,Sharjah,1.9,113969,-0.012,0.667,163,53,11,8,134263,Fair
SME0049,Manufacturing,Ras Al Khaimah,1.7,668666,-0.125,0.093,1856,30,20,29,448828,Good
SME0050,Retail,Dubai,23.7,248306,-0.032,0.144,971,47,18,31,282327,Excellent
SME0051,E-commerce,Sharjah,5.0,95505,-0.182,0.328,295,26,18,12,75486,Good
SME0052,Retail,Dubai,3.3,109580,0.274,0.449,300,78,12,6,204822,Good
SME0053,Professional Services,Dubai,3.0,115927,-0.091,0.554,348,31,61,13,92385,Good
SME0054,Manufacturing,Dubai,1.3,252248,0.321,0.439,547,38,92,47,316590,Fair
SME0055,Manufacturing,Dubai,5.9,58543,-0.008,0.349,98,28,34,48,48373,Good
SME0056,Professional Services,Sharjah,3.8,26464,-0.15,0.487,42,46,32,40,19150,Excellent
SME0057,F&B,Ras Al Khaimah,9.1,43617,-0.014,0.063,85,104,8,14,51907,Excellent
SME0058,Construction,Dubai,7.0,76878,-0.35,0.126,109,67,60,48,89098,Fair
SME0059,Retail,Abu Dhabi,3.7,63117,0.053,0.08,155,27,15,15,50912,Good
SME0060,Retail,Sharjah,0.7,187120,0.043,0.252,736,56,7,30,250557,Good
SME0061,Manufacturing,Fujairah,5.1,160659,0.261,0.333,279,57,38,25,180806,Fair
SME0062,F&B,Abu Dhabi,4.7,109581,-0.335,0.105,478,63,51,19,127481,Fair
SME0063,Construction,Dubai,0.5,61657,0.336,0.336,172,66,60,38,89171,Good
SME0064,Professional Services,Abu Dhabi,6.4,66320,0.261,0.238,129,23,20,43,68553,Good
SME0065,Healthcare,Dubai,1.8,215667,0.355,0.228,493,26,18,13,299459,Excellent
SME0066,Construction,Umm Al Quwain,9.5,289443,0.068,0.278,678,54,30,26,357490,Poor
SME0067,Construction,Dubai,4.5,94289,0.303,0.236,306,29,23,42,113687,Good
SME0068,Logistics,Sharjah,2.9,162719,-0.244,0.218,363,22,38,1,160459,Fair
SME0069,Retail,Dubai,5.6,707166,0.237,0.069,1240,33,31,33,838452,Excellent
SME0070,F&B,Dubai,5.3,91356,-0.09,0.098,202,41,14,43,76141,Good
SME0071,E-commerce,Ras Al Khaimah,5.2,69602,-0.283,0.066,199,23,61,34,43045,Good
SME0072,F&B,Abu Dhabi,8.7,80000,-0.167,0.138,266,53,38,35,61956,Good
SME0073,Trading,Abu Dhabi,5.8,165185,0.081,0.371,468,12,50,23,158159,Fair
SME0074,E-commerce,Fujairah,2.7,110334,-0.101,0.12,222,31,15,41,117135,Fair
SME0075,Retail,Ras Al Khaimah,3.9,106229,0.163,0.182,216,32,38,9,85716,Good
SME0076,E-commerce,Dubai,11.7,36785,-0.318,0.294,104,15,44,13,32971,Fair
SME0077,Logistics,Abu Dhabi,2.5,62575,-0.35,0.238,339,118,30,35,68455,Excellent
SME0078,Manufacturing,Abu Dhabi,6.4,163357,0.382,0.166,326,32,12,41,206695,Good
SME0079,Construction,Abu Dhabi,8.9,151680,0.279,0.315,443,51,28,53,203433,Excellent
SME0080,Professional Services,Dubai,6.8,60681,-0.151,0.291,114,28,42,69,50254,Good
SME0081,Manufacturing,Dubai,5.1,159559,0.079,0.395,444,15,52,14,171322,Poor
SME0082,F&B,Ras Al Khaimah,5.7,97669,0.304,0.151,295,15,9,10,134440,Excellent
SME0083,Professional Services,Fujairah,7.1,209115,0.172,0.155,446,22,30,46,147686,Poor
SME0084,E-commerce,Ajman,2.5,115316,0.113,0.242,157,29,10,18,119600,Good
SME0085,Retail,Umm Al Quwain,4.8,153160,0.321,0.141,284,12,42,24,148166,Fair
SME0086,Retail,Sharjah,17.7,68847,-0.081,0.028,148,17,49,43,66442,Excellent
SME0087,Manufacturing,Sharjah,6.5,301616,0.087,0.3,612,122,14,29,497874,Good
SME0088,F&B,Sharjah,5.2,127625,0.076,0.482,532,37,12,40,92817,Poor
SME0089,E-commerce,Abu Dhabi,3.6,261897,0.02,0.198,831,22,18,13,205208,Good
SME0090,F&B,Abu Dhabi,2.5,170063,-0.006,0.221,1144,13,24,31,131758,Good
SME0091,Retail,Dubai,5.8,179948,0.096,0.152,274,15,16,31,206658,Fair
SME0092,Manufacturing,Sharjah,6.1,170582,0.088,0.458,269,41,44,53,121925,Fair
SME0093,F&B,Dubai,4.5,114197,-0.151,0.047,230,73,52,61,115485,Excellent
SME0094,Logistics,Dubai,22.2,350231,0.256,0.431,751,49,29,18,401113,Fair
SME0095,Logistics,Abu Dhabi,2.7,81479,-0.135,0.418,309,14,16,11,77638,Fair
SME0096,Healthcare,Dubai,2.2,76740,0.032,0.228,181,41,23,41,77240,Fair
SME0097,Logistics,Dubai,3.7,165476,0.015,0.154,249,86,29,6,175327,Good
SME0098,Retail,Ajman,4.6,155280,0.159,0.37,333,33,23,43,182137,Good
SME0099,Retail,Ras Al Khaimah,2.4,54150,-0.35,0.357,142,49,25,46,37302,Poor
SME0100,Hospitality,Dubai,5.7,107500,0.276,0.26,450,34,50,17,155795,Good
SME0101,Trading,Dubai,6.1,141008,-0.069,0.061,229,55,16,2,129061,Good
SME0102,Manufacturing,Dubai,7.7,28216,0.348,0.508,64,24,81,49,33263,Poor
SME0103,E-commerce,Ajman,3.2,104100,-0.025,0.199,435,2,29,63,58946,Excellent
SME0104,Hospitality,Ajman,11.1,100215,0.069,0.296,296,18,22,61,82732,Good
SME0105,Professional Services,Dubai,7.3,85681,0.501,0.044,289,30,15,62,91940,Fair
SME0106,Manufacturing,Sharjah,2.7,617945,0.019,0.054,1423,39,16,8,659998,Fair
SME0107,F&B,Dubai,2.4,32993,0.353,0.071,69,31,27,26,28919,Poor
SME0108,E-commerce,Dubai,3.9,62245,0.089,0.301,160,31,29,31,55761,Fair
SME0109,Retail,Umm Al Quwain,6.1,18000,0.171,0.431,33,74,21,28,27249,Good
SME0110,Trading,Dubai,6.8,101488,0.095,0.053,221,20,10,40,88129,Good
SME0111,F&B,Dubai,7.3,66250,0.267,0.243,115,42,27,11,84043,Excellent
SME0112,E-commerce,Abu Dhabi,17.0,81331,-0.071,0.465,200,14,17,6,78075,Poor
SME0113,Logistics,Abu Dhabi,0.9,363629,-0.136,0.034,446,62,7,4,395589,Excellent
SME0114,Construction,Fujairah,4.4,362772,-0.06,0.496,949,48,39,49,396921,Good
SME0115,E-commerce,Umm Al Quwain,16.1,134046,0.102,0.162,392,121,8,8,189363,Good
SME0116,Trading,Dubai,7.9,111463,0.031,0.504,341,19,21,27,122722,Excellent
SME0117,Professional Services,Dubai,2.1,234897,0.236,0.179,553,100,25,16,431670,Good
SME0118,Manufacturing,Ajman,5.5,182378,0.367,0.287,749,21,57,17,215920,Good
SME0119,F&B,Dubai,4.2,46256,-0.135,0.22,95,33,7,22,39380,Excellent
SME0120,Healthcare,Ras Al Khaimah,4.1,30440,-0.081,0.14,138,16,42,17,29055,Poor
SME0121,Construction,Sharjah,3.2,119957,-0.236,0.128,256,120,46,6,194150,Poor
SME0122,Healthcare,Dubai,5.2,248642,0.527,0.186,864,52,67,22,308292,Excellent
SME0123,Retail,Ajman,9.8,755442,0.147,0.276,1869,53,51,13,764485,Fair
SME0124,F&B,Dubai,3.4,97719,0.186,0.439,187,23,25,13,84055,Good
SME0125,Retail,Abu Dhabi,7.4,56923,-0.215,0.192,78,6,43,75,39335,Excellent
SME0126,F&B,Abu Dhabi,8.2,33869,0.08,0.507,106,32,58,7,40324,Good
SME0127,Logistics,Abu Dhabi,11.0,226732,0.192,0.435,525,28,6,21,201351,Fair
SME0128,Retail,Sharjah,2.4,24345,0.024,0.264,67,10,10,29,20218,Fair
SME0129,Retail,Sharjah,4.9,174171,0.317,0.223,504,33,31,75,208725,Excellent
SME0130,Construction,Umm Al Quwain,2.9,349780,0.589,0.327,960,42,46,10,703091,Fair
SME0131,E-commerce,Umm Al Quwain,5.2,181789,-0.128,0.092,331,54,38,59,130284,Fair
SME0132,Trading,Abu Dhabi,5.2,126723,-0.145,0.094,324,7,33,22,89599,Fair
SME0133,Construction,Dubai,1.9,282153,-0.113,0.192,392,17,66,22,217776,Good
SME0134,Logistics,Sharjah,5.4,164007,0.433,0.202,328,23,21,38,218191,Fair
SME0135,Healthcare,Umm Al Quwain,17.5,67570,0.309,0.298,206,75,16,65,66869,Good
SME0136,Retail,Dubai,6.8,525892,0.05,0.185,1295,75,19,17,512720,Excellent
SME0137,Hospitality,Abu Dhabi,1.6,84954,0.088,0.506,240,51,32,31,105585,Fair
SME0138,F&B,Abu Dhabi,2.3,179310,-0.1,0.08,328,33,25,28,166076,Good
SME0139,Professional Services,Dubai,4.7,18000,0.276,0.286,71,78,47,27,19931,Fair
SME0140,Retail,Sharjah,2.3,322868,-0.004,0.193,1117,47,17,43,275453,Fair
SME0141,F&B,Dubai,10.7,323169,0.023,0.438,853,76,34,14,298869,Good
